"Context","Source"
"AppSettings","MavlinkActions"
"AppSettings","Save to SD card specified for application data. But no SD card present. Using internal storage."
"AppSettings","Save to SD card specified for application data. But SD card is write protected. Using internal storage."
"AppSettings"," (Partial)"
"AppSettings"," (Test Only)"
"AudioOutput","%1"
"Autotune","Autotune: In progress"
"Autotune","Autotune: initializing"
"Autotune","Autotune: roll"
"Autotune","Autotune: pitch"
"Autotune","Autotune: yaw"
"Autotune","Wait for disarm"
"Autotune","Land and disarm the vehicle in order to apply the parameters."
"Autotune","Autotune: in progress"
"Autotune","Autotune: Success"
"Autotune","Autotune successful."
"Autotune","Autotune: Unknown error"
"Autotune","Autotune: Failed"
"Autotune","Autotune: Ack error %1"
"Autotune","Autotune: Not performed"
"AutotuneUI","Start AutoTune"
"AutotuneUI","WARNING!        

The auto-tuning procedure should be executed with caution and requires the vehicle to fly stable enough before attempting the procedure!         

Before starting the auto-tuning process, make sure that:         
1. You have read the auto-tuning guide and have followed the preliminary steps         
2. The current control gains are good enough to stabilize the drone in presence of medium disturbances         
3. You are ready to abort the auto-tuning sequence by moving the RC sticks, if anything unexpected happens.         

Click Ok to start the auto-tuning process.
"
"BatteryIndicator","n/a"
"BatteryIndicator","Battery %1"
"BatteryIndicator","Status"
"BatteryIndicator","Remaining"
"BatteryIndicator","Consumed"
"BatteryIndicator","Function"
"BatteryIndicator","Battery Display"
"BatteryIndicator","Value"
"BatteryIndicator","Coloring"
"BatteryIndicator","Low"
"BatteryIndicator","Critical"
"BatteryIndicator","Vehicle Power"
"BatteryIndicator","Configure"
"BlankPlanCreator","Empty Plan"
"BluetoothLink","Link %1: (Device: %2) %3"
"BluetoothSettings","Device"
"BluetoothSettings","Address"
"BluetoothSettings","Bluetooth Devices"
"BluetoothWorker","Data to Send is Empty"
"BluetoothWorker","Socket is not connected"
"BluetoothWorker","Socket is not Writable"
"BluetoothWorker","Could Not Send Data - Write Failed: %1"
"BluetoothWorker","Could Not Send Data - Write Returned 0 Bytes"
"Bootloader","Unable to put radio into command mode +++"
"Bootloader","Radio did not respond to command mode"
"Bootloader","Radio did not respond to ATI2 command"
"Bootloader","Radio did not return board id"
"Bootloader","Unable to reboot radio (ready read)"
"Bootloader","Get Device: "
"CompInfoParam","Component %1"
"CompInfoParam","Internal Error: Parameter MetaData major must be 1"
"ComponentInformationTranslation","File open failed: file:error %1 %2"
"DebugWindow","Qt Platform:"
"DebugWindow","Font Point Size 10"
"DebugWindow","Default font width:"
"DebugWindow","Font Point Size 10.5"
"DebugWindow","Default font height:"
"DebugWindow","Font Point Size 11"
"DebugWindow","Default font pixel size:"
"DebugWindow","Font Point Size 11.5"
"DebugWindow","Default font point size:"
"DebugWindow","Font Point Size 12"
"DebugWindow","QML Screen Desktop:"
"DebugWindow","Font Point Size 12.5"
"DebugWindow","QML Screen Size:"
"DebugWindow","Font Point Size 13"
"DebugWindow","QML Pixel Density:"
"DebugWindow","Font Point Size 13.5"
"DebugWindow","QML Pixel Ratio:"
"DebugWindow","Font Point Size 14"
"DebugWindow","Default Point:"
"DebugWindow","Font Point Size 14.5"
"DebugWindow","Computed Font Height:"
"DebugWindow","Font Point Size 15"
"DebugWindow","Computed Screen Height:"
"DebugWindow","Font Point Size 15.5"
"DebugWindow","Computed Screen Width:"
"DebugWindow","Font Point Size 16"
"DebugWindow","Desktop Available Width:"
"DebugWindow","Font Point Size 16.5"
"DebugWindow","Desktop Available Height:"
"DebugWindow","Font Point Size 17"
"ESP8266ComponentSummary","AP Mode"
"ESP8266ComponentSummary","Station Mode"
"EditPositionDialog","Edit Position"
"EditPositionDialog","Coordinate System"
"EditPositionDialog","Geographic"
"EditPositionDialog","Universal Transverse Mercator"
"EditPositionDialog","Military Grid Reference"
"EditPositionDialog","Vehicle Position"
"EditPositionDialog","Set position"
"EditPositionDialog","Move"
"FTPManager","Invalid Nak format"
"FTPManager","errno %1"
"FTPManager","List directory failed"
"FWLandingPatternEditor","Flight Speed"
"FWLandingPatternEditor","Final approach"
"FWLandingPatternEditor","Use loiter to altitude"
"FWLandingPatternEditor","Distance"
"FWLandingPatternMapVisual","Approach"
"Fact","Reboot vehicle for changes to take effect."
"Fact","Restart application for changes to take effect."
"FactTextFieldSlider","Value: "
"Firmware Class","PX4 Pro"
"Firmware Class","ArduPilot"
